student_id,name,age,gender,email,phone,education_level,qualification,specialization,background,college_name,graduation_year,cgpa,backlogs,preferred_domain
STU00001,Anika Seth,22,Female,anikaseth115@gmail.com,9126855092,Undergraduate,B.Tech,ECE,No,College of Engineering Trivandrum,2026,7.91,No,Testing
STU00002,Dakshesh Comar,22,Male,daksheshcomar239@gmail.com,9642621108,Undergraduate,B.Tech,CSE,Yes,"Jain University, Bengaluru",2026,6.51,No,React
STU00003,Pushti Ram,30,Male,pushtiram826@gmail.com,9271432881,Working Professional,M.Sc,Data Science,Yes,"Jain University, Bengaluru",2020,8.77,No,Python
STU00004,Wriddhish Sarkar,30,Male,wriddhishsarkar353@gmail.com,9748245888,Working Professional,MBA,Business Administration,No,"Anna University, Chennai",2021,8.69,No,Data Science
STU00005,Parth Bora,19,Male,parthbora566@gmail.com,9414797776,12th,12th,Commerce,No,"St. Thomas Higher Secondary School, Thrissur",2026,7.46,No,Testing
STU00006,Vihaan Sandhu,30,Male,vihaansandhu239@gmail.com,9208449460,Working Professional,MCA,Computer Applications,Yes,"Model Engineering College, Kochi",2020,5.88,Yes,Angular
STU00007,Anjali Mangat,22,Female,anjalimangat651@gmail.com,9283758720,Undergraduate,B.Tech,Mechanical,No,"TKM College of Engineering, Kollam",2026,6.43,No,Angular
STU00008,Pahal Bhatt,23,Male,pahalbhatt842@gmail.com,9134467368,Postgraduate,M.Sc,Data Science,Yes,"St. Thomas College, Thrissur",2026,7.69,No,MERN Stack
STU00009,Max Peri,22,Female,maxperi672@gmail.com,9636045484,Undergraduate,BCA,Computer Applications,Yes,College of Engineering Trivandrum,2025,6.24,No,AI/ML
STU00010,Jeet Pau,28,Female,jeetpau598@gmail.com,9528853029,Working Professional,MCA,Computer Applications,Yes,"Mahatma Gandhi University, Kottayam",2022,7.83,No,Angular
STU00011,Kashvi Chana,24,Male,kashvichana643@gmail.com,9271779360,Undergraduate,B.Sc,Mathematics,No,"Jain University, Bengaluru",2023,7.76,No,Python
STU00012,Praneel Tak,22,Male,praneeltak739@gmail.com,9222998994,Undergraduate,B.Tech,Mechanical,No,National Institute of Technology Calicut,2026,7.32,No,Data Science
STU00013,Shivansh Madan,25,Male,shivanshmadan4@gmail.com,9875340444,Postgraduate,MBA,Business Administration,No,"St. Xavier's College, Mumbai",2025,6.19,No,UI/UX Design
STU00014,Anika Nadig,22,Female,anikanadig383@gmail.com,9918739736,Undergraduate,BA,Economics,No,Indian Institute of Technology Madras,2025,7.43,No,Flutter
STU00015,Ekaja Vyas,24,Male,ekajavyas852@gmail.com,9966267851,Working Professional,MCA,Computer Applications,Yes,College of Engineering Trivandrum,2025,7.87,No,MERN Stack
STU00016,Isha Majumdar,23,Female,ishamajumdar676@gmail.com,9610330567,Undergraduate,B.Tech,CSE,Yes,"Jain University, Bengaluru",2025,6.38,Yes,AI/ML
STU00017,Elijah Dash,25,Male,elijahdash320@gmail.com,9528414718,Postgraduate,M.Sc,Data Science,Yes,"Jain University, Bengaluru",2024,6.65,No,Data Science
STU00018,Warjas Narula,23,Male,warjasnarula226@gmail.com,9107721109,Diploma,Diploma,IT,Yes,"Government Polytechnic College, Kalamassery",2024,7.62,Yes,Data Science
STU00019,Rehaan Brar,18,Female,rehaanbrar527@gmail.com,9355555531,12th,12th,Commerce,No,"St. Joseph's Higher Secondary School, Kozhikode",2026,6.95,No,Business Analytics
STU00020,Arin Uppal,20,Male,arinuppal100@gmail.com,9807577342,Diploma,Diploma,CSE,Yes,"Government Polytechnic College, Palakkad",2025,6.39,No,React
STU00021,Lucky Salvi,19,Female,luckysalvi413@gmail.com,9881913386,12th,12th,Science,No,"Kendriya Vidyalaya No. 1, Kozhikode",2025,7.59,No,Python
STU00022,Rohan Bhargava,21,Male,rohanbhargava828@gmail.com,9690907304,Diploma,Diploma,Mechanical,No,"Government Polytechnic College, Kalamassery",2025,7.88,No,DevOps
STU00023,Karan Nadig,23,Male,karannadig417@gmail.com,9621453189,Undergraduate,B.Tech,ECE,No,National Institute of Technology Calicut,2025,7.24,No,Python
STU00024,Champak Mall,20,Male,champakmall434@gmail.com,9847959430,Undergraduate,B.Tech,CSE,Yes,"TKM College of Engineering, Kollam",2026,7.0,No,MERN Stack
STU00025,Jonathan Khalsa,22,Male,jonathankhalsa63@gmail.com,9903132646,Undergraduate,BBA,Business Administration,No,"Maharaja's College, Ernakulam",2026,5.5,Yes,Python
STU00026,Gaurika Gola,27,Female,gaurikagola191@gmail.com,9173574218,Working Professional,MBA,Business Administration,No,"Madras Christian College, Chennai",2023,8.35,No,Data Science
STU00027,Unni Bala,25,Female,unnibala609@gmail.com,9142672287,Undergraduate,B.Tech,Mechanical,No,"Mahatma Gandhi University, Kottayam",2021,5.83,Yes,AI/ML
STU00028,Wahab Agrawal,21,Female,wahabagrawal661@gmail.com,9422119408,Undergraduate,B.Tech,Civil,No,"Jain University, Bengaluru",2026,6.68,Yes,DevOps
STU00029,Ekta Rama,23,Male,ektarama219@gmail.com,9643189555,Undergraduate,B.Com,Commerce,No,"University of Kerala, Thiruvananthapuram",2025,8.87,No,Python
STU00030,Sai Tripathi,23,Male,saitripathi827@gmail.com,9802201721,Undergraduate,B.Tech,Mechanical,No,"Model Engineering College, Kochi",2026,5.53,Yes,DevOps
STU00031,Yoshita Bains,23,Male,yoshitabains119@gmail.com,9214929002,Undergraduate,B.Tech,ECE,No,"Government Engineering College, Thrissur",2025,6.26,Yes,DevOps
STU00032,Girindra Varma,19,Male,girindravarma928@gmail.com,9154544899,Diploma,Diploma,ECE,No,"Government Polytechnic College, Kozhikode",2026,8.41,Yes,DevOps
STU00033,Benjamin Guha,22,Female,benjaminguha760@gmail.com,9574417266,Undergraduate,B.Tech,ECE,No,"Model Engineering College, Kochi",2026,8.07,No,MERN Stack
STU00034,Anvi Bhakta,21,Female,anvibhakta131@gmail.com,9144913399,Undergraduate,BBA,Business Administration,No,"St. Xavier's College, Mumbai",2026,7.14,No,Business Analytics
STU00035,Jasmit Merchant,24,Male,jasmitmerchant799@gmail.com,9701170349,Postgraduate,MBA,Business Administration,No,"Mahatma Gandhi University, Kottayam",2026,7.48,No,React
STU00036,Nidhi Shroff,19,Male,nidhishroff184@gmail.com,9890880074,Diploma,Diploma,CSE,Yes,"Government Polytechnic College, Palakkad",2026,7.36,No,React
STU00037,Sanaya Nigam,20,Male,sanayanigam164@gmail.com,9945436943,Undergraduate,B.Tech,IT,Yes,College of Engineering Trivandrum,2026,8.27,No,Python
STU00038,Daksh Sura,28,Male,dakshsura815@gmail.com,9344378798,Working Professional,M.Sc,Data Science,Yes,Cochin University of Science and Technology,2022,6.88,No,Data Science
STU00039,Zaid Lad,20,Female,zaidlad657@gmail.com,9646970178,Undergraduate,BCA,Computer Applications,Yes,"Christ University, Bengaluru",2026,5.5,Yes,MEARN Stack
STU00040,Neelima Rana,20,Female,neelimarana112@gmail.com,9740563507,Diploma,Diploma,CSE,Yes,"Government Polytechnic College, Kannur",2025,7.4,No,MERN Stack
STU00041,Samarth Boase,25,Female,samarthboase261@gmail.com,9147659674,Undergraduate,B.Tech,CSE,Yes,National Institute of Technology Calicut,2023,8.71,No,MEARN Stack
STU00042,Dayamai Cherian,23,Female,dayamaicherian322@gmail.com,9812306873,Postgraduate,MBA,Business Administration,No,Indian Institute of Technology Madras,2026,6.93,No,UI/UX Design
STU00043,Kashish Doshi,20,Female,kashishdoshi568@gmail.com,9236674237,Undergraduate,B.Sc,Mathematics,No,"Loyola College, Chennai",2026,5.85,No,Data Science
STU00044,Adya Bora,22,Male,adyabora294@gmail.com,9325681936,Undergraduate,BCA,Computer Applications,Yes,"Government Engineering College, Thrissur",2025,8.72,No,MERN Stack
STU00045,Qushi Dani,27,Female,qushidani923@gmail.com,9954725078,Working Professional,M.Tech,CSE,Yes,"Government Engineering College, Thrissur",2024,7.63,No,DevOps
STU00046,Aarini Sarkar,18,Female,aarinisarkar204@gmail.com,9258220114,12th,12th,Arts,No,"Sarvodaya Vidyalaya, Thiruvananthapuram",2026,8.29,No,UI/UX Design
STU00047,Janaki Soman,25,Male,janakisoman908@gmail.com,9776205431,Undergraduate,B.Tech,Civil,No,College of Engineering Trivandrum,2021,6.7,No,DevOps
STU00048,Tristan Pandey,26,Female,tristanpandey110@gmail.com,9935822550,Working Professional,M.Sc,Computer Science,Yes,Cochin University of Science and Technology,2025,7.7,No,Python
STU00049,Ekantika Dhillon,22,Female,ekantikadhillon137@gmail.com,9960514523,Undergraduate,B.Tech,Mechanical,No,"Government Engineering College, Thrissur",2026,5.85,No,Flutter
STU00050,Zarna Baria,26,Female,zarnabaria562@gmail.com,9578796089,Working Professional,MCA,Computer Applications,Yes,"University of Kerala, Thiruvananthapuram",2024,7.16,No,AI/ML
STU00051,Amol Thakkar,20,Male,amolthakkar797@gmail.com,9659741412,Undergraduate,B.Tech,CSE,Yes,National Institute of Technology Calicut,2026,6.13,Yes,React
STU00052,Warjas Sane,24,Female,warjassane155@gmail.com,9348315126,Undergraduate,BCA,Computer Applications,Yes,National Institute of Technology Calicut,2023,8.0,Yes,Python
STU00053,Chanchal Hegde,23,Male,chanchalhegde64@gmail.com,9322086735,Postgraduate,MBA,Business Administration,No,"Jain University, Bengaluru",2026,8.29,No,DevOps
